"Time","cluster","namespace","node","pod","type","Value"
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-samuel-v3-znooijcgxsdhqmcv-5k8flb,CPU,0.00020901141699785397
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-fdlz5,CPU,0.00020873507797280712
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-spaceone-inven-collector-wjddfvcgfocdsna-684c47c65cjzpjp,CPU,0.0002083928695361486
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-spaceone-member-inven-collector-lrllincdribtvviba-6pwdvs,CPU,0.00020829998263998038
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-spaceone-dynamic-ui-collector-bokkcwcoksnsnvcl-54cfglh6s,CPU,0.00020802858383417737
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-samuel-v3-bokkcwcokszijbsvl-fp27c,CPU,0.00020781604970996633
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-http-file-cost-datasource-kgootqtbbcetlcbk-7db45c5dmkh9f,CPU,0.00020772565113339226
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-exlludcqwsmhmvfol-5645c6dcf8xxzm9,CPU,0.0002076935611375955
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-spaceone-dynamic-ui-collector-bokkcwcoksnsbxixe-7cb6svmv,CPU,0.0002076579779227611
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-orzzivckqsohvoibd-55d575cdd8q642q,CPU,0.00020719494345367132
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-spaceone-dynamic-ui-collector-kgootocbwsvivnfbm-595927sd,CPU,0.00020715686759516277
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-wjddfvcobsrhxunn-845dffdcbb-rnkhg,CPU,0.00020713562693719194
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-samuel-wjddfvcobsjsjjikd-7c5xhhwc,CPU,0.0002065735711020678
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-43-218.ap-northeast-2.compute.internal,spin-echo-7668f7c49c-f2p2b,CPU,0.0002059822038785919
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-spaceone-dynamic-ui-collector-rrzzircjrsbfokio-6bb5m4kmb,CPU,0.0002058776854461479
