"Time","pod","type","Value"
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-7cv46,RAM,0.008098207545280456
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-tvftx,RAM,0.008043923358917238
1701356399000,newrelic-bundle-kube-state-metrics-6994bd5884-mf7vc,CPU,0.007907496165344858
1701356399000,kelvin-5895d85cbd-qlmdf,CPU,0.007759670081318387
1701356399000,newrelic-bundle-nrk8s-kubelet-49vcv,RAM,0.0070984940975904465
1701356399000,newrelic-bundle-nrk8s-kubelet-b2d8k,RAM,0.0070984940975904465
1701356399000,newrelic-bundle-nrk8s-kubelet-v6g5m,RAM,0.0070984940975904465
1701356399000,newrelic-bundle-nrk8s-kubelet-54csk,RAM,0.007026619277894497
1701356399000,tempo-0,CPU,0.007018974667548329
1701356399000,promtail-6v7r5,CPU,0.006226560165647571
1701356399000,redis-85b9b8b9c5-jzht7,CPU,0.005745967537084643
1701356399000,ebs-csi-node-lgkd4,CPU,0.005687945000000001
1701356399000,ebs-csi-node-4x6n4,CPU,0.005687945000000001
1701356399000,ebs-csi-node-ln8cv,CPU,0.00568276
1701356399000,ebs-csi-node-h5swc,CPU,0.005633095
1701356399000,loki-write-2,RAM,0.00520206392288208
1701356399000,metrics-server-9f459d97b-m5rlw,RAM,0.004962207031250001
1701356399000,aws-node-8g49b,CPU,0.004740447130677986
1701356399000,aws-node-jvdtt,CPU,0.004739954166666668
1701356399000,aws-node-t75xm,CPU,0.0047356333333333335
1701356399000,plugin-aws-hyperbilling-cost-datasource-lrllinclhxuosbb-56lh9q9,RAM,0.004710505452632904
1701356399000,aws-node-8hr4v,CPU,0.004694245833333333
1701356399000,inventory-759fdf99bd-mhqhq,RAM,0.004368350004068343
1701356399000,inventory-scheduler-76bd444598-t47q2,RAM,0.004368350004068343
1701356399000,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.004097904205322265
1701356399000,external-dns-645c984745-hfhdr,CPU,0.003994862865720669
1701356399000,promtail-xdfff,CPU,0.0039614813716874284
1701356399000,vizier-pem-4579l,CPU,0.0039122392748787765
1701356399000,inventory-worker-75cdbd4b5d-mpq7d,RAM,0.0038258900656700126
1701356399000,promtail-tsx29,CPU,0.0036675689492021426
1701356399000,console-api-786fb8d6c7-7zggk,RAM,0.0036144050850868224
1701356399000,statistics-worker-6d5b574877-njc72,RAM,0.0036067795133590697
1701356399000,sp1-agent-opencost-64786844f6-qzxbx,CPU,0.0034757349186700353
1701356399000,promtail-6v7r5,RAM,0.0034679317560195925
1701356399000,aws-load-balancer-controller-bf9dc8dc9-l7h8m,CPU,0.003232505699137649
1701356399000,prometheus-kube-prometheus-operator-7d978d49f4-pqbmj,CPU,0.003209796861293801
1701356399000,loki-write-2,CPU,0.0031570302338297654
